file,engine,workload,concurrency,model,max_tokens,input_tokens,num_requests,num_successful,num_failed,total_duration_s,request_throughput_req_s,output_throughput_tok_s,e2e_latency_p50_s,e2e_latency_p95_s,e2e_latency_p99_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_mean_s,approx_total_output_tokens
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_long_c1.jsonl,vllm_prefix_on,long,1,Qwen/Qwen2.5-7B-Instruct,128,1024,64,0,64,1.6670908990199678,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_long_c2.jsonl,vllm_prefix_on,long,2,Qwen/Qwen2.5-7B-Instruct,128,1024,64,0,64,1.0395294009940699,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_long_c4.jsonl,vllm_prefix_on,long,4,Qwen/Qwen2.5-7B-Instruct,128,1024,64,0,64,0.7770582039956935,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_long_c8.jsonl,vllm_prefix_on,long,8,Qwen/Qwen2.5-7B-Instruct,128,1024,64,0,64,0.9003911690087989,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_long_c16.jsonl,vllm_prefix_on,long,16,Qwen/Qwen2.5-7B-Instruct,128,1024,64,0,64,0.838529242988443,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_long_c32.jsonl,vllm_prefix_on,long,32,Qwen/Qwen2.5-7B-Instruct,128,1024,64,0,64,0.3857980910106562,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_shared_prefix_c1.jsonl,vllm_prefix_on,shared_prefix,1,Qwen/Qwen2.5-7B-Instruct,128,128,96,0,96,2.767520263005281,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_shared_prefix_c2.jsonl,vllm_prefix_on,shared_prefix,2,Qwen/Qwen2.5-7B-Instruct,128,128,96,0,96,1.9626132599951234,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_shared_prefix_c4.jsonl,vllm_prefix_on,shared_prefix,4,Qwen/Qwen2.5-7B-Instruct,128,128,96,0,96,1.4731773029780015,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_shared_prefix_c8.jsonl,vllm_prefix_on,shared_prefix,8,Qwen/Qwen2.5-7B-Instruct,128,128,96,0,96,1.0369817710015923,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_shared_prefix_c16.jsonl,vllm_prefix_on,shared_prefix,16,Qwen/Qwen2.5-7B-Instruct,128,128,96,0,96,1.2167310759832617,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_shared_prefix_c32.jsonl,vllm_prefix_on,shared_prefix,32,Qwen/Qwen2.5-7B-Instruct,128,128,96,0,96,1.1704452419944573,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_short_c1.jsonl,vllm_prefix_on,short,1,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,124.20767087198328,0.7728991239111472,43.217942678698314,1.2891020835231757,1.3274277425007313,1.3323197114033973,0.036300502993981354,0.03823889601335395,0.046576095950149006,0.022866466543991822,5368
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_short_c2.jsonl,vllm_prefix_on,short,2,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,57.912988397001754,1.6576592342620342,79.70578151409948,1.203954127006,1.2076353044903954,1.216425544171943,0.04415444249752909,0.044688590249279514,0.05001318203139812,0.02464758094138761,4616
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_short_c4.jsonl,vllm_prefix_on,short,4,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,30.103837995993672,3.188962152027792,154.1331706813433,1.2359759954997571,1.2510907305113506,1.4036013645571075,0.04715133250283543,0.06828460450196872,0.07070415050693554,0.025209747867395094,4640
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_short_c8.jsonl,vllm_prefix_on,short,8,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,16.045120924012735,5.983127235665064,297.66057997433694,1.284005021007033,1.4960028802670422,1.4988377952409793,0.04973702099232469,0.09709649450087454,0.09794189725798787,0.026088436861427765,4776
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_short_c16.jsonl,vllm_prefix_on,short,16,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,9.120903028990142,10.525273615438167,528.1275313079756,1.4444846710102865,1.6228009067635867,1.626447691002977,0.12874858851137105,0.1477240540116327,0.14824582504952558,0.027855868949956158,4817
experiments/vllm_prefix_on_20260523_065445/raw/vllm_prefix_on_short_c32.jsonl,vllm_prefix_on,short,32,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,6.296138821984641,15.247440171552523,774.2840712116516,1.5321421919943532,3.012049028497131,3.0128865376187606,0.2361272100097267,1.563600703018892,1.5651670555671444,0.028062486331950885,4875
